assets/0/gameAbsolutePath,assets/0/fullAbsolutePath,region,regionRef,regions/0,regionRefs/0,attack,cost,health,description,descriptionRaw,levelupDescription,levelupDescriptionRaw,flavorText,artistName,name,cardCode,keywords/0,keywordRefs/0,spellSpeed,spellSpeedRef,rarity,rarityRef,subtype,supertype,type,collectible,set,associatedCardRefs/0,associatedCardRefs/1,subtypes/0,keywords/1,keywordRefs/1,associatedCardRefs/2,associatedCardRefs/3,associatedCardRefs/4,keywords/2,keywordRefs/2,regions/1,regionRefs/1,associatedCardRefs/5,associatedCardRefs/6,associatedCardRefs/7,associatedCardRefs/8,associatedCardRefs/9,associatedCardRefs/10
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO012.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO012-full.png,Ionia,Ionia,Ionia,Ionia,0,2,0,Give an ally +3|+0 or +0|+3 this round.,Give an ally +3|+0 or +0|+3 this round.,,,"""Never fear change. It will question you, test your limits. It is our greatest teacher."" - Karma",SIXMOREVODKA,Twin Disciplines,01IO012,Burst,Burst,Burst,Burst,COMMON,Common,,,Spell,true,Set1,,,,,,,,,,,,,,,,,,
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO012T2.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO012T2-full.png,Ionia,Ionia,Ionia,Ionia,0,2,0,Give an ally +0|+3 this round.,Give an ally +0|+3 this round.,,,,SIXMOREVODKA,Discipline of Fortitude,01IO012T2,Burst,Burst,Burst,Burst,None,None,,,Spell,false,Set1,,,,,,,,,,,,,,,,,,
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO012T1.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO012T1-full.png,Ionia,Ionia,Ionia,Ionia,0,2,0,Give an ally +3|+0 this round.,Give an ally +3|+0 this round.,,,,SIXMOREVODKA,Discipline of Force,01IO012T1,Burst,Burst,Burst,Burst,None,None,,,Spell,false,Set1,,,,,,,,,,,,,,,,,,
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO015.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO015-full.png,Ionia,Ionia,Ionia,Ionia,4,4,4,"When you <link=keyword.Stun><sprite name=Stunned><style=Keyword>Stun</style></link> or <link=keyword.Recall><style=Keyword>Recall</style></link> an enemy, I deal 2 to it.","When you Stun or Recall an enemy, I deal 2 to it.",You <link=keyword.Stun><sprite name=Stunned><style=Keyword>Stun</style></link> or <link=keyword.Recall><style=Keyword>Recall</style></link> 5+ units<style=Variable></style>.,You Stun or Recall 5+ units.,"""Death is like the wind...""",SIXMOREVODKA,Yasuo,01IO015,Quick Attack,QuickStrike,,,Champion,Champion,,Champion,Unit,true,Set1,01IO015T1,01IO015T2,,,,,,,,,,,,,,,,
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO015T1.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO015T1-full.png,Ionia,Ionia,Ionia,Ionia,5,4,5,"When you <link=keyword.Stun><sprite name=Stunned><style=Keyword>Stun</style></link> or <link=keyword.Recall><style=Keyword>Recall</style></link> an enemy, I strike it.","When you Stun or Recall an enemy, I strike it.",,,"""...always by my side.""",SIXMOREVODKA,Yasuo,01IO015T1,Quick Attack,QuickStrike,,,None,None,,Champion,Unit,false,Set1,01IO015,01IO015T2,,,,,,,,,,,,,,,,
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO015T2.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO015T2-full.png,Ionia,Ionia,Ionia,Ionia,0,2,0,"<link=keyword.Stun><sprite name=Stunned><style=Keyword>Stun</style></link> an attacking enemy.
Create a <link=card.level1><style=AssociatedCard>Yasuo</style></link> in your deck.","Stun an attacking enemy.
Create a Yasuo in your deck.",,,"""Hasagi!"" - Yasuo",Max Grecke,Yasuo's Steel Tempest,01IO015T2,Fast,Fast,Fast,Fast,None,None,,Champion,Spell,false,Set1,01IO015T1,01IO015,,,,,,,,,,,,,,,,
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO020.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO020-full.png,Ionia,Ionia,Ionia,Ionia,2,2,3,"When I'm summoned, give other allies +1|+0 this round.","When I'm summoned, give other allies +1|+0 this round.",,,"""On this day, yours will become the face of discipline, training, humility, and balance. Today, you become Kinkou.""",SIXMOREVODKA,Keeper of Masks,01IO020,,,,,COMMON,Common,,,Unit,true,Set1,,,,,,,,,,,,,,,,,,
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO045.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO045-full.png,Ionia,Ionia,Ionia,Ionia,2,2,2,<link=vocab.Support><style=Vocab>Support</style></link>: Give my supported ally <link=keyword.Lifesteal><sprite name=Lifesteal><style=Keyword>Lifesteal</style></link> this round.,Support: Give my supported ally Lifesteal this round.,,,"""During winter's reign, we heard the tread of
Footsteps 'cross the snowy floor. 
In its wake, new vine and leaf emerged to rearrange
The forest floor and herald season's change.""
- Shon-Xan poem",SIXMOREVODKA,Herald of Spring,01IO045,,,,,COMMON,Common,,,Unit,true,Set1,,,,,,,,,,,,,,,,,,
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO008.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO008-full.png,Ionia,Ionia,Ionia,Ionia,1,2,3,"When you <link=keyword.Stun><sprite name=Stunned><style=Keyword>Stun</style></link> or <link=keyword.Recall><style=Keyword>Recall</style></link> a unit, grant me +2|+0.","When you Stun or Recall a unit, grant me +2|+0.",,,"""Oh, so you think I'm 'cute'? 'Fuzzy'?? Let's see how 'adorable' you find THIS!""",SIXMOREVODKA,Fae Bladetwirler,01IO008,Quick Attack,QuickStrike,,,RARE,Rare,YORDLE,,Unit,true,Set1,,,YORDLE,,,,,,,,,,,,,,,
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO040.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO040-full.png,Ionia,Ionia,Ionia,Ionia,2,4,2,,,,,"""Once, this place held our schools, our temples, our homes. Now, we are left to skulk about its shadow-infested ruins. Zed's Order has defiled the legacy of this sacred place--I will be sure they regret it.""",SIXMOREVODKA,Kinkou Lifeblade,01IO040,Lifesteal,Lifesteal,,,COMMON,Common,,,Unit,true,Set1,,,,Elusive,Elusive,,,,,,,,,,,,,
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO041.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO041-full.png,Ionia,Ionia,Ionia,Ionia,4,5,3,<link=vocab.RoundEnd><style=Vocab>Round End</style></link>: Create in hand a random spell from your regions.,Round End: Create in hand a random spell from your regions.,You're <link=keyword.Enlightened><style=Keyword>Enlightened</style></link>.,You're Enlightened.,"""Through reflection, we can focus the mind, and find a path around any obstacle.""",SIXMOREVODKA,Karma,01IO041,,,,,Champion,Champion,,Champion,Unit,true,Set1,01IO041T2,01IO041T1,,,,,,,,,,,,,,,,
http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO041T1.png,http://dd.b.pvp.net/2_16_0/set1/en_us/img/cards/01IO041T1-full.png,Ionia,Ionia,Ionia,Ionia,5,5,4,"When you play a spell, cast it again on the same targets.","When you play a spell, cast it again on the same targets.",,,"""We'll bring peace to Ionia, whatever the cost.""",SIXMOREVODKA,Karma,01IO041T1,Imbue,Imbue,,,None,None,,Champion,Unit,false,Set1,01IO041,01IO041T2,,,,,,,,,,,,,,,,
